premise	hypo	label
i had never thought about that i could probably plant one and bring it in and just like i bring my plants in every year	That's a great idea to bring plant one and bring it in.	None
According to the analysis, 60 winning bidders for the 900 MHz licenses qualify as small entities (no breakdown of small vs. very small).	60 winning bidders for the 900 MHz licenses qualify as small entities (no breakdown of small vs. very small), according to the analysis.	Entailment
Lady Gaga foi eleita a Mulher do Ano pela revista Billboard.	A revista Billboard elegeu a cantora Lady Gaga como a Mulher do Ano.	Paraphrase
Gartner raised its own worldwide PC shipment forecast in August to 8.9 per cent growth for 2003, up from expectations of 7.2 per cent.	Gartner Inc. also raised its worldwide PC shipment forecast in August to 8.9 percent growth for 2003, up from expectations of 7.2 percent.	Paraphrase
Sem Luis Fabiano, que está suspenso, Osorio deve escolher entre Rogério, Centurión ou Wilder para a vaga.	O ataque deverá ser formado por Alexandre Pato, Wilder e Rogério.	None
Rocamadour	Rocamador or Rocamadour is a French commune and located in the Lot department in the Midi-Pyrénées region.	None
Specifically, these organizations bring in employees with desirable skills from across the enterprise to work in conjunction with IT professionals, thereby maximizing the capability of their technical resources.	Desirable skills can be acquired in school or through self training.	None
Ambas exigem a saída imediata de Blatter, pois só assim a FIFA pode entrar “num processo de reforma credível e sustentável”.	Num curto comunicado, um dos mais importantes patrocionadores da FIFA exigiu a demissão imediata de Blatter.	None
Well said, Dave Hanson.	Well said, Dave Hanson, I'm sure people will agree.	None
Tommy continued to stare at him.	Tommy kept staring at him.	Entailment
No terceiro trimestre criaram-se mais 182,2 mil postos de trabalho, elevando o total para 18,04 milhões de empregados.	Entre julho e setembro, criaram-se 205 mil empregos temporais.	None
Kelly killed himself after being exposed as the source for a BBC report which claimed the government had embellished evidence of Iraq's banned weapons to justify the war.	He killed himself after being exposed as the source for a BBC report which claimed the government exaggerated the case for war against Iraq.	Paraphrase
A navy official on the scene said divers were scanning the river bed with metal finders before rain drove them to shore.	A navy official said divers scanned the river bed with metal detectors before rain drove them to shore.	Paraphrase
A rede social ainda tem restrições ao botão "não curtir".	O que a rede quer são alternativas ao botão “curtir” existente hoje.	None
O serviço do Uber não pode ser prestado antes de ser regulamentado.	Muitos taxistas estão reagindo com violência contra motoristas que prestam serviço com o Uber.	None
Revision of Fee Schedules; 100% Fee Recovery, FY 1966	100% of fees were recovered by the IRS.	None
Not far from these modest areas are the city's first upscale developments, Rancho Circle and the Scotch 80s.	The city has several upscale developments.	None
The ratings include the following.	The ratings are accurate.	None
Maccabi Telavive soma segundo desaire seguido, depois de perder com o FC Porto, para a Champions.	O Maccabi Telavive soma 16 pontos, em igualdade com o Hapoel Beer Sheva.	None
Rihanna escolhe look transparente para jantar em churrascaria na Zona Sul.	Rihanna usa look transparente para jantar e tropeça em seu próprio vestido.	None
Imagine seizing these creatures, feeding them or trying to, and keeping them hidden.	It must have been difficult to take these creatures and keep them hidden.	None
Drewes and a friend were playing a game of "ding-dong-ditch" -- ringing doorbells and running away -- in the Woodbury neighborhood in suburban Boca Raton.	Drewes and his friend were pulling a mischievous, late-night game of "ding-dong-ditch" knocking on doors or ringing doorbells and running in the Woodbury neighborhood in suburban Boca Raton.	Paraphrase
Papacy exiled to Avignon, France from Rome	The papacy remained in Avignon, France for 10 years.	None
These plans would offer preventive health coverage as well as protection against catastrophic health-care expenses, neither of which is currently available under the government-run program.	The latter would offer preventive health coverage as well as protection against unexpected healthcare expenses, neither of which is currently available under Medicare.	Paraphrase
Ramose's Tomb is also important.	His tomb is important because it holds the secret of the vampires.	None
Jon could hear them riding on the path towards him.	Jon was ready to fight.	None
Enquanto o Milan visita a Udinese, o Palermo recebe o Sassuolo em seu estádio, Renzo Barbera.	O Palermo vai receber o Sassuolo no seu estádio, Renzo Barbera.	Entailment
Isto significa que vendeu cerca de 305,000 unidades de consolas Xbox One em Outubro de 2015.	A partir de hoje a Xbox One é uma consola nova.	None
The proposed bill, sponsored by Rep.	The proposed bill was sponsored by Rep, an IT company.	None
A tradition of Labor Day racing was established long ago in the Inland Empire.	There is a tradition of Labor Day racing in the Inland Valley.	Paraphrase
"We are starting the epidemic with more cases and more areas affected than last year.	"It indicates we are starting the epidemic with more cases than last year," Gerberding said.	Paraphrase
Even if you're a linguistic dud, try to learn a handful of Italian words or expressions.	Even if you are bad with language, attempt to pick up some Italian expressions.	Entailment
Only a relative handful of good job holders (which is to say only a few hundred thousand a year) experience serious reverses.	Only few good job holders experience serious reverses.	Entailment
Quick follow them.	Follow them rapidly.	Entailment
I tried to move back a bit.	I attempted to back off.	Entailment
Tsarnaev foi encontrado escondido em um barco em um jardim após a morte de seu irmão.	Dzhokhar Tsarnaev foi formalmente condenado à morte por um juiz norte-americano.	None
yeah bah humbug	Yes, bah humbug.	Entailment
Aos 18 anos, mudou-se para Lisboa, trabalhou no atual Turim Suisso Atlântico Hotel e, depois, no Hotel Império.	Trabalha primeiro no Turim Atlântico Hotel, para ir mais tarde para o Hotel Império.	Entailment
a plausible increase in the penetration of computer ownership by households over the course of a single year.	Computer ownership by households usually increases in a year.	Entailment
The straw bags that Ibicencos and visitors hang over their shoulders for shopping or for carrying beach equipment are useful and inexpensive.	People sometimes use straw bags to shop or carry things around.	Entailment
The Washington-based Legal Services Corp. wants the buildings transferred to the S.C.	The Legal Services Corp in Washington wants all buildings older than 30 years to be transferred to the S.C.	None
he's probably drug dealer himself  never know	He could be a drug dealer, too.	Entailment
Shares in Berkeley-based Xoma lost 77 cents, or 14 percent, to close at $4.72 each in trading on the Nasdaq Stock Market.	The share price of Berkeley-based Xoma lost 73 cents a share, or 13 percent, to $4.76 in afternoon trading on the Nasdaq Stock Market.	Paraphrase
The house is hugely enjoyable, with its intricate layout, 18th-century furniture, chinoiserie, children's toys, and and views of the grounds and distant mountains, particularly from the airy turret rooms.	The hosue is beautifully maintained.	Entailment
Under the name of  ?	Using which name?	Entailment
well i i don't know there was well whatever it was there was a second there i couldn't even hear what you were saying but um	There was something happening in the background, and I couldn't hear you.	None
Chiron already has nearly 20 percent acceptances from PowderJect's shareholders.	Chiron has acceptances from holders of nearly 20 percent of PowderJect shares.	Paraphrase
Well, don't let him have too much of it.	He will ask for much more.	None
Verificou-se ainda que a maioria dos alunos fumadores (51,9%) refere ter familiares na sua residência que fumam.	A maioria dos alunos fumadores dizem que familiares fumam em casa.	Entailment
E pode chegar a R$ 63.535 completo e com motor 1.6 e câmbio automático.	Já a versão Premium, com motor 1.6, só tem câmbio automático e custa R$ 59.445.	None
