premise	hypo	label
See appendix II for a detailed description of the modeling methodology.	Appendix II has a detailed description of the modeling methodology.	Entailment
Organizations relied on both internally and externally developed and presented training courses, sometimes engaging contractors or others to assist.	Organizations sometimes engaged contractors.	Entailment
Lady Gaga foi eleita a Mulher do Ano pela revista Billboard.	A revista Billboard elegeu a cantora Lady Gaga como a Mulher do Ano.	Paraphrase
Gartner raised its own worldwide PC shipment forecast in August to 8.9 per cent growth for 2003, up from expectations of 7.2 per cent.	Gartner Inc. also raised its worldwide PC shipment forecast in August to 8.9 percent growth for 2003, up from expectations of 7.2 percent.	Paraphrase
Sem Luis Fabiano, que está suspenso, Osorio deve escolher entre Rogério, Centurión ou Wilder para a vaga.	O ataque deverá ser formado por Alexandre Pato, Wilder e Rogério.	None
Such observation is part of the richness, immediacy, and thick description of a case study.	Without proper observation there can be no quality case study.	None
A third major data set comes from the California based 7th day Adventist study.	The final fourth data set comes from the Connecticut-based Meriden study.	None
Ambas exigem a saída imediata de Blatter, pois só assim a FIFA pode entrar “num processo de reforma credível e sustentável”.	Num curto comunicado, um dos mais importantes patrocionadores da FIFA exigiu a demissão imediata de Blatter.	None
For example, operating information is required for development of financial reports.	The operating reports were delivered promptly.	None
The organizations used a variety of mechanisms to ensure effective and timely communication among members and with the professional and administrative staffs that some of the organizations had established.	These members needed these mechanisms, as they were operating with minimum efficiency.	None
No terceiro trimestre criaram-se mais 182,2 mil postos de trabalho, elevando o total para 18,04 milhões de empregados.	Entre julho e setembro, criaram-se 205 mil empregos temporais.	None
Kelly killed himself after being exposed as the source for a BBC report which claimed the government had embellished evidence of Iraq's banned weapons to justify the war.	He killed himself after being exposed as the source for a BBC report which claimed the government exaggerated the case for war against Iraq.	Paraphrase
A navy official on the scene said divers were scanning the river bed with metal finders before rain drove them to shore.	A navy official said divers scanned the river bed with metal detectors before rain drove them to shore.	Paraphrase
A rede social ainda tem restrições ao botão "não curtir".	O que a rede quer são alternativas ao botão “curtir” existente hoje.	None
O serviço do Uber não pode ser prestado antes de ser regulamentado.	Muitos taxistas estão reagindo com violência contra motoristas que prestam serviço com o Uber.	None
GAO is also authorized to inspect an agency's records to secure the required information.	GAO is authorized to inspect the agency's records to keep the information required.	Entailment
