premise	hypo	label
O músico e raper luso angolano está em greve de fome há 29 dias.	Agora são 26 dias de greve de fome e isto já implica outras coisas.	None
Batizado de 2015 TB145, o asteroide foi descoberto em 10 de outubro pelo telescópio Pan-STARRS-1, no Hawaí.	O asteróide 2015 TB145 foi descoberto em outubro.	Entailment
Chove forte na capital baiana desde a madrugada, quando várias ruas ficaram alagadas e moradores "ilhados".	Ruas ficaram alagadas e moradores ficaram ilhados em alguns lugares da cidade.	Entailment
Vaccine makers have been thrust into the limelight as government programs to encourage wider vaccination and fears of biological attacks on civilian and military targets.	Vaccine makers have been thrust into the limelight as government programs encourage wider vaccination amid fears of biological attacks.	Paraphrase
The term program is used to include entities, services, and activities.	Activities are included in the term program.	Entailment
Este ano a Federação Mundial para a Saúde Mental escolheu a ‘Dignidade’ como tema para comemorar o Dia Mundial da Saúde Mental.	Esta data foi criada em 1992 pela Federação Mundial de Saúde Mental (World Federation for Mental Health).	None
The data used for the analysis are described in the Appendix.	Data utilized in the analysis is explained in the Appendix.	Entailment
A Aqpa nasceu da fusão, em janeiro de 2009, dos braços saudita e iemenita da Al-Qaeda.	A AQPA nasceu da fusão dos grupos Al-Qaeda do Iêmen e da Arábia Saudita.	Entailment
A Web Summit vai andar por Lisboa em 2016, 2017 e 2018.	Em 2016, 2017 e 2018, a Web Summit tem nova morada: Lisboa.	Paraphrase
Interior believed that the fees the contractor would have charged were excessive and the savings were uncertain.	The contractors fees are excessive and the savings are unknown said Interior.	Entailment
Their father had pleaded with the doctors to stop the fight after his wife's euthanasia bid left their son in a coma and he was put on life-support.	Their father had pleaded with doctors to abandon their efforst after his wife's euthanasia bid left their son in a coma and he was put on life support.	Paraphrase
Um investigador da Universidade de Coimbra criou uma aplicação para telemóvel que lhe valeu a distinção na Alemanha de Young Scientist Award.	O prémio Young Scientist Award foi entregue na Alemanha na Conferência Internacional de Inovação para Serviços Comunitários.	None
Completing the analysis under 49 U.S.C.	The analysis is completed.	Entailment
Ele ainda insistiu, mas acabei cortando relações.	Sem dizer que é portador do HIV, insistia para manter relações sem preservativo.	None
The retailer said it came to the decision after hearing the opinions of customers and associates.	The decision came after "listening to our customers and associates," Melissa Berryhill, a spokeswoman for Wal-Mart, said.	Paraphrase
Presente ao juiz do Tribunal Central de Instrução Criminal, Carlos Alexandre, Vara foi ouvido durante cerca de duas horas.	Vara  foi ouvido pelo juiz Carlos Alexandre durante duas horas.	Entailment
A vontade e a atitude desta equipa são indiscutíveis, tal como o apoio dos nossos adeptos.	Podemos ter noites mais felizes ou não, erros ou não, mas a vontade e atitude são indiscutíveis.	None
The Standard & Poor's 500 index rose 11.14, or 1.2 percent, to 931.41."	The Standard & Poor's 500 Index gained 10.89, or 1.2 percent, to 931.12 as of 12:01 p.m. in New York.	Paraphrase
