premise	hypo	label
O vice-governador do BCE avisa que o Banco Central Europeu está a fazer tudo o que pode.	O vice-governador defende que a Europa precisa de imigrantes, para fazer crescer a economia.	None
that much i know that Mike Smith retiring a couple of years ago left a big hole offensively who do the Phillies look to to drive in a lot of runs	Mike Smith 's retirement hindered the Phillies ' offensive capability .	Entailment
yeah it 's a nice way to relax i mean in a way i mean i find it anyway although sometimes watching the news isn 't very relaxing i get home from from	Watching the news isn 't always relaxing .	Entailment
Randall Simon singled to right for the second run.	Randall Simon followed with an RBI single to right.	Paraphrase
Bicudo deverá protocolar um novo pedido de impeachment na Câmara dos Deputados ainda nesta quinta-feira.	Cunha não seguiu o próprio protocolo ao aceitar o pedido de impeachment de Reale Júnior e Bicudo.	None
O Tsu é um concorrente do Facebook com a diferença que partilha as suas receitas com quem gera conteúdo.	O Tsu é uma rede social disponível apenas por convite e paga aos utilizadores que geram conteúdo.	None
Tampering with medicine has been so lucrative that many of those arrested lived in million-dollar homes.	Tampering with medicine apparently was so lucrative, investigators said, that many of the suspects lived in million-dollar homes.	Paraphrase
right about now	Right about this time now .	Entailment
Natural de Valpaços, Diogo Lage, de 42 anos, desde cedo soube que a sua paixão seriam as artes.	A imagem foi registada por Diogo Lage, 42 anos e natural de Valpaços, Trás-os-Montes.	None
A year or two later, 259, or 10 per cent, of the youths reported that they had started to smoke, or had taken just a few puffs.	Within two years, 259, or 10 percent, of the youths reported they had started to smoke or had at least taken a few puffs.	Paraphrase
Reading this did make me wish , in hindsight , that ER 's biographer were a little less admiringly sober .	ER 's biographer was very frank .	Entailment
Francisca van Dunem era diretora do DIAP de Lisboa na altura da investigação da Casa Pia.	Francisca Van Dunem será a próxima ministra da Justiça.	None
Labor's Julia Gillard said it was a "major failure of coastal surveillance".	Opposition politicians have described it as a "major failure in coastal surveillance".	Paraphrase
The girl turned up late Sunday at a convenience store in East Palo Alto, about 30 miles from her home.	The girl turned up late Sunday night at an East Palo Alto convenience store about 30 miles from her home.	Paraphrase
From Beforethewars . "	From before the wars .	Entailment
We 'll have to give the foal a lift .	The foal needs us to give it a lift .	Entailment
O Alzheimer é um tipo de demência que é mais comum em pessoas de idade avançada.	O Alzheimer é um tipo de demência e no mundo cerca de 35 milhões de pessoas sofrem desta doença.	None
Further , advances in computeraided design and other technologies are occurring	Computer aided design technologies are getting better .	Entailment
I thanked him .	Thanks was given .	Entailment
O anúncio da libertação foi feito em Israel, pelo principal grupo de apoio de Pollard.	O povo de Israel felicita a libertação de Jonathan Pollard.	None
