premise	hypo	label
O vice-governador do BCE avisa que o Banco Central Europeu está a fazer tudo o que pode.	O vice-governador defende que a Europa precisa de imigrantes, para fazer crescer a economia.	None
Sgt. Ernest Bucklew, 33, estava voltando do Iraque para enterrar sua mãe na Pensilvânia.	Ernest Bucklew foi para casa no funeral de sua mãe na Pensilvânia.	Paraphrase
Após as prisões, os homens disseram aos investigadores que pagaram para serem contrabandeados para o Canadá no mês passado, em Blaine, Washington, disseram duas fontes.	Após a prisão, os homens disseram aos investigadores que pagaram para serem contrabandeados do Canadá no mês passado para os Estados Unidos.	Paraphrase
Então seu orgulho em Shiloh baniu um pouco de sua rigidez.	Ele ficou menos rígido porque tinha orgulho de Shiloh.	Entailment
Bicudo deverá protocolar um novo pedido de impeachment na Câmara dos Deputados ainda nesta quinta-feira.	Cunha não seguiu o próprio protocolo ao aceitar o pedido de impeachment de Reale Júnior e Bicudo.	None
O Tsu é um concorrente do Facebook com a diferença que partilha as suas receitas com quem gera conteúdo.	O Tsu é uma rede social disponível apenas por convite e paga aos utilizadores que geram conteúdo.	None
Ela parou de gritar e sorriu, os dentes uma ruína de decomposição.	Ela mostrou os dentes enquanto sorria.	Entailment
A Microsoft procurará simplificar a criação de aplicativos BizTalk, vinculando-o mais fortemente à sua principal ferramenta de desenvolvimento, o Visual Studio.Net.	A fabricante de software está tentando simplificar a criação de aplicativos BizTalk, vinculando-o mais fortemente à sua principal ferramenta de desenvolvimento, o Visual Studio.Net.	Paraphrase
Natural de Valpaços, Diogo Lage, de 42 anos, desde cedo soube que a sua paixão seriam as artes.	A imagem foi registada por Diogo Lage, 42 anos e natural de Valpaços, Trás-os-Montes.	None
Estado pobre perde US $ 2 milhões em assistência jurídica	Os pobres perderão US $ 2 milhões em assistência jurídica.	Entailment
Linda Lingle e membros de sua equipe estavam na base da Marinha e assistiram ao lançamento.	A governadora Linda Lingle e outros dignitários devem estar na base para assistir ao lançamento.	Paraphrase
Francisca van Dunem era diretora do DIAP de Lisboa na altura da investigação da Casa Pia.	Francisca Van Dunem será a próxima ministra da Justiça.	None
Quando fui calar a boca, senhor.	Quando eu fui ficar quieta.	Entailment
John Cavendish não destruiu essa vontade. "Poirot era um verdadeiro profeta.	Poirot previu algo corretamente.	Entailment
Os cabos podem ser consumidos com muito mais energia e podem ser ligados e desligados como uma torneira de água, tornando a cobrança mais precisa, disse Taub.	Os cabos podem carregar muito mais energia e podem ser ligados e desligados como torneiras de água, tornando o faturamento mais preciso, disse Taub.	Paraphrase
As ações da Nvidia perderam 58 centavos (EUA) ou 3,46%, para $ 16,20 ontem na Nasdaq Stock Market.	As ações da Nvidia caíram 65 centavos, ou quase 4%, para US $ 16,13 na Nasdaq.	Paraphrase
O Alzheimer é um tipo de demência que é mais comum em pessoas de idade avançada.	O Alzheimer é um tipo de demência e no mundo cerca de 35 milhões de pessoas sofrem desta doença.	None
Não há transcrição da sessão do tribunal em Tarrytown, 20 quilômetros ao norte de Nova York, no rio Hudson.	Não houve transcrição da sessão do tribunal de quinta-feira em Tarrytown, que fica a 20 quilômetros ao norte de Nova York, no rio Hudson.	Paraphrase
No mercado total de sistemas de armazenamento em disco externo, a receita aumentou 1,5% ano a ano no terceiro trimestre, para US $ 3,2 bilhões.	No mercado total de sistemas de armazenamento em disco externo, McArthur disse que a receita aumentou 1,5% ano a ano no terceiro trimestre, para US $ 3,2 bilhões.	Paraphrase
O anúncio da libertação foi feito em Israel, pelo principal grupo de apoio de Pollard.	O povo de Israel felicita a libertação de Jonathan Pollard.	None
Não teria acontecido se Matt Damon não tivesse dito 'sim'.	E seria um grande passo garantir a nossa sobrevivência.	None
O período de espera do Moche Rip Curl Pro Portugal decorre até sábado.	A organização do Moche Rip Curl Pro Portugal decidiu declarar lay day após as três chamadas feitas pela manhã.	None
O game para dispositivos móveis Candy Crush se define como "o jogo mais doce que existe".	Candy Crush Saga foi originalmente concebido para ser jogado no Facebook.	None
Um levante semelhante ocorreu na Hungria no mesmo ano, e os soviéticos invadiram para esmagá-lo rapidamente.	Os soviéticos foram rápidos em esmagar a revolta na Hungria.	Entailment
Em Xanxerê, 4.275 pessoas ficaram desalojadas e 539, desabrigadas após os fortes ventos.	Porém, 27 pessoas ficaram feridas, 1.050 foram desalojadas e 77 ficaram desabrigadas.	None
O segundo tempo começou com o Santos mantendo a pressão e continuando a buscar o campo de ataque.	O Santos tinha mais posse de bola e jogava no campo de ataque.	Entailment
O embaixador britânico nas Nações Unidas, Sir Jeremy Greenstock, deve liderar uma missão do Conselho de Segurança na região em meados de maio.	Sir Jeremy Greenstock, embaixador do Reino Unido na ONU, deve liderar uma missão de uma semana do Conselho de Segurança na África Ocidental em meados de maio.	Paraphrase
André Gomes e João Cancelo marcaram os gols do time espanhol.	André Gomes fez bela jogada individual pela esquerda e bateu com força para marcar.	None
